date,pm25,mental_health,suicide,tmax,tmin,tmean,precip,windspeed,rh_max,month,weekday,is_weekend,heat_day
2024-01-01,8.671428571428573,449,7,7.4,-0.4,3.3,0.1,14.7,91,1,0,0,0
2024-01-04,6.779999999999999,505,5,6.7,-3.0,1.9,0.3,25.8,85,1,3,0,0
2024-01-07,2.6875,395,2,3.0,-0.1,1.5,6.8,25.2,100,1,6,1,0
2024-01-10,2.65,494,9,13.8,4.8,8.8,21.0,41.3,92,1,2,0,0
2024-01-13,3.475,433,3,14.4,1.2,8.8,19.5,34.9,96,1,5,1,0
2024-01-16,9.1,463,3,-0.8,-6.2,-2.9,9.1,24.8,94,1,1,0,0
2024-01-19,11.5375,530,4,-0.9,-4.3,-2.4,2.5,17.8,79,1,4,0,0
2024-01-22,8.783333333333333,517,4,3.7,-6.6,-2.1,0.0,18.8,74,1,0,0,0
2024-01-25,12.4125,533,10,10.6,6.8,8.6,6.1,21.8,100,1,3,0,0
2024-01-28,2.34,434,6,3.8,2.2,3.2,21.1,29.0,97,1,6,1,0
2024-01-31,4.475,545,4,4.2,-1.6,1.9,0.1,11.6,92,1,2,0,0
2024-02-03,3.8166666666666664,405,2,5.7,-3.2,0.9,0.0,23.5,74,2,5,1,0
2024-02-06,4.171428571428572,482,5,5.5,-4.8,-0.3,0.0,18.8,63,2,1,0,0
2024-02-09,9.616666666666667,544,7,11.1,1.6,5.2,0.0,14.8,97,2,4,0,0
2024-02-12,6.428571428571429,526,3,9.2,-1.7,3.8,0.0,11.5,91,2,0,0,0
2024-02-15,5.3,552,2,1.6,-5.2,-1.6,0.4,21.8,79,2,3,0,0
2024-02-18,5.7125,368,2,3.6,-6.3,-2.1,0.0,25.5,74,2,6,1,0
2024-02-21,4.9399999999999995,480,2,4.7,-5.7,-1.0,0.0,14.8,88,2,2,0,0
2024-02-24,5.95,398,2,5.6,-4.0,1.9,0.0,19.9,92,2,5,1,0
2024-02-27,14.200000000000001,491,6,13.8,-0.4,7.7,3.9,26.2,100,2,1,0,0
2024-03-01,5.375,531,8,5.9,-4.8,0.9,0.0,19.0,82,3,4,0,0
2024-03-04,4.333333333333333,526,5,14.4,3.8,8.2,0.0,19.7,97,3,0,0,0
2024-03-07,2.8125,552,6,12.5,4.9,9.4,3.8,27.4,98,3,3,0,0
2024-03-10,1.8333333333333333,386,6,10.7,1.9,6.8,3.3,28.9,98,3,6,1,0
2024-03-13,9.657142857142857,538,5,15.6,2.4,8.9,0.0,15.2,87,3,2,0,0
2024-03-16,5.416666666666667,429,5,14.1,4.7,9.2,0.0,18.5,89,3,5,1,0
2024-03-19,3.2125,507,6,7.2,0.4,3.5,0.5,27.0,87,3,1,0,0
2024-03-22,5.0,440,1,5.8,-4.6,1.1,0.0,18.2,72,3,4,0,0
2024-03-25,4.7,551,6,10.3,-1.4,4.2,0.0,19.0,60,3,0,0,0
2024-03-28,7.683333333333334,513,4,10.4,5.5,8.2,21.1,20.9,98,3,3,0,0
2024-03-31,4.55,386,6,15.6,4.4,10.2,0.2,19.9,86,3,6,1,0
2024-04-03,3.3833333333333333,487,6,6.5,4.1,5.4,26.3,44.4,94,4,2,0,0
2024-04-06,2.1,449,8,11.2,3.3,6.8,0.2,26.8,78,4,5,1,0
2024-04-09,9.7,559,9,23.6,5.2,14.3,0.0,17.8,88,4,1,0,0
2024-04-12,6.375,499,4,19.1,12.1,15.3,19.3,38.3,96,4,4,0,0
2024-04-15,7.540000000000001,576,6,23.9,10.9,17.7,0.0,23.0,94,4,0,0,0
2024-04-18,2.8625,531,5,9.1,5.8,8.3,1.9,24.3,94,4,3,0,0
