date,borough,mental_health,suicide,pm25,tmax,tmin,tmean,precip,windspeed,rh_max,month,weekday,is_weekend,heat_day
2024-01-01,Bronx,98,1,7.85,7.4,-0.4,3.3,0.1,14.7,91,1,0,0,0
2024-01-01,Manhattan,135,1,8.9,7.4,-0.4,3.3,0.1,14.7,91,1,0,0,0
2024-01-01,Queens,80,1,9.15,7.4,-0.4,3.3,0.1,14.7,91,1,0,0,0
2024-01-04,Bronx,133,0,5.7,6.7,-3.0,1.9,0.3,25.8,85,1,3,0,0
2024-01-04,Manhattan,125,3,7.3,6.7,-3.0,1.9,0.3,25.8,85,1,3,0,0
2024-01-04,Queens,77,0,6.8,6.7,-3.0,1.9,0.3,25.8,85,1,3,0,0
2024-01-07,Bronx,101,2,2.8,3.0,-0.1,1.5,6.8,25.2,100,1,6,1,0
2024-01-07,Brooklyn,95,0,2.7,3.0,-0.1,1.5,6.8,25.2,100,1,6,1,0
2024-01-07,Manhattan,93,0,2.8333333333333335,3.0,-0.1,1.5,6.8,25.2,100,1,6,1,0
2024-01-07,Queens,92,0,2.35,3.0,-0.1,1.5,6.8,25.2,100,1,6,1,0
2024-01-10,Bronx,113,1,2.4,13.8,4.8,8.8,21.0,41.3,92,1,2,0,0
2024-01-10,Brooklyn,140,4,2.6,13.8,4.8,8.8,21.0,41.3,92,1,2,0,0
2024-01-10,Manhattan,117,2,2.85,13.8,4.8,8.8,21.0,41.3,92,1,2,0,0
2024-01-10,Queens,95,1,2.6,13.8,4.8,8.8,21.0,41.3,92,1,2,0,0
2024-01-13,Bronx,98,1,3.4000000000000004,14.4,1.2,8.8,19.5,34.9,96,1,5,1,0
2024-01-13,Brooklyn,124,0,3.3,14.4,1.2,8.8,19.5,34.9,96,1,5,1,0
2024-01-13,Manhattan,117,1,3.9333333333333336,14.4,1.2,8.8,19.5,34.9,96,1,5,1,0
2024-01-13,Queens,79,1,2.95,14.4,1.2,8.8,19.5,34.9,96,1,5,1,0
2024-01-16,Bronx,108,0,9.2,-0.8,-6.2,-2.9,9.1,24.8,94,1,1,0,0
2024-01-16,Manhattan,104,2,8.95,-0.8,-6.2,-2.9,9.1,24.8,94,1,1,0,0
