date,county,site,pm25,aqi
2024-01-01,Manhattan,IS 45,8.4,47
2024-01-01,Manhattan,IS 45,8.4,47
2024-01-01,Manhattan,IS 45,8.4,47
2024-01-01,Manhattan,IS 45,8.4,47
2024-01-01,Manhattan,IS 45,8.4,47
2024-01-01,Manhattan,IS 45,8.4,47
2024-01-01,Manhattan,IS 45,8.4,47
2024-01-01,Manhattan,IS 45,8.4,47
2024-01-04,Manhattan,IS 45,7.5,42
2024-01-04,Manhattan,IS 45,7.5,42
2024-01-04,Manhattan,IS 45,7.5,42
2024-01-04,Manhattan,IS 45,7.5,42
2024-01-04,Manhattan,IS 45,7.5,42
2024-01-04,Manhattan,IS 45,7.5,42
2024-01-04,Manhattan,IS 45,7.5,42
2024-01-04,Manhattan,IS 45,7.5,42
2024-01-07,Manhattan,IS 45,2.7,15
2024-01-07,Manhattan,IS 45,2.7,15
2024-01-07,Manhattan,IS 45,2.7,15
2024-01-07,Manhattan,IS 45,2.7,15
2024-01-07,Manhattan,IS 45,2.7,15
2024-01-07,Manhattan,IS 45,2.7,15
2024-01-07,Manhattan,IS 45,2.7,15
2024-01-07,Manhattan,IS 45,2.7,15
2024-01-10,Manhattan,IS 45,2.5,14
2024-01-10,Manhattan,IS 45,2.5,14
2024-01-10,Manhattan,IS 45,2.5,14
2024-01-10,Manhattan,IS 45,2.5,14
2024-01-10,Manhattan,IS 45,2.5,14
2024-01-10,Manhattan,IS 45,2.5,14
2024-01-10,Manhattan,IS 45,2.5,14
2024-01-10,Manhattan,IS 45,2.5,14
2024-01-13,Manhattan,IS 45,3.5,19
2024-01-13,Manhattan,IS 45,3.5,19
2024-01-13,Manhattan,IS 45,3.5,19
2024-01-13,Manhattan,IS 45,3.5,19
2024-01-13,Manhattan,IS 45,3.5,19
2024-01-13,Manhattan,IS 45,3.5,19
2024-01-13,Manhattan,IS 45,3.5,19
2024-01-13,Manhattan,IS 45,3.5,19
2024-01-16,Manhattan,IS 45,10.1,53
2024-01-16,Manhattan,IS 45,10.1,53
2024-01-16,Manhattan,IS 45,10.1,53
2024-01-16,Manhattan,IS 45,10.1,53
2024-01-16,Manhattan,IS 45,10.1,53
2024-01-16,Manhattan,IS 45,10.1,53
2024-01-16,Manhattan,IS 45,10.1,53
2024-01-16,Manhattan,IS 45,10.1,53
2024-01-19,Manhattan,IS 45,11.3,55
2024-01-19,Manhattan,IS 45,11.3,55
2024-01-19,Manhattan,IS 45,11.3,55
2024-01-19,Manhattan,IS 45,11.3,55
2024-01-19,Manhattan,IS 45,11.3,55
2024-01-19,Manhattan,IS 45,11.3,55
2024-01-19,Manhattan,IS 45,11.3,55
2024-01-19,Manhattan,IS 45,11.3,55
2024-01-22,Manhattan,IS 45,8.6,48
2024-01-22,Manhattan,IS 45,8.6,48
2024-01-22,Manhattan,IS 45,8.6,48
2024-01-22,Manhattan,IS 45,8.6,48
2024-01-22,Manhattan,IS 45,8.6,48
2024-01-22,Manhattan,IS 45,8.6,48
2024-01-22,Manhattan,IS 45,8.6,48
2024-01-22,Manhattan,IS 45,8.6,48
2024-01-25,Manhattan,IS 45,13.6,59
2024-01-25,Manhattan,IS 45,13.6,59
2024-01-25,Manhattan,IS 45,13.6,59
2024-01-25,Manhattan,IS 45,13.6,59
2024-01-25,Manhattan,IS 45,13.6,59
2024-01-25,Manhattan,IS 45,13.6,59
2024-01-25,Manhattan,IS 45,13.6,59
2024-01-25,Manhattan,IS 45,13.6,59
2024-01-28,Manhattan,IS 45,2.3,13
2024-01-28,Manhattan,IS 45,2.3,13
2024-01-28,Manhattan,IS 45,2.3,13
2024-01-28,Manhattan,IS 45,2.3,13
2024-01-28,Manhattan,IS 45,2.3,13
2024-01-28,Manhattan,IS 45,2.3,13
2024-01-28,Manhattan,IS 45,2.3,13
2024-01-28,Manhattan,IS 45,2.3,13
2024-01-31,Manhattan,IS 45,4.5,25
2024-01-31,Manhattan,IS 45,4.5,25
2024-01-31,Manhattan,IS 45,4.5,25
2024-01-31,Manhattan,IS 45,4.5,25
2024-01-31,Manhattan,IS 45,4.5,25
2024-01-31,Manhattan,IS 45,4.5,25
2024-01-31,Manhattan,IS 45,4.5,25
2024-01-31,Manhattan,IS 45,4.5,25
2024-02-03,Manhattan,IS 45,3.6,20
2024-02-03,Manhattan,IS 45,3.6,20
2024-02-03,Manhattan,IS 45,3.6,20
2024-02-03,Manhattan,IS 45,3.6,20
2024-02-03,Manhattan,IS 45,3.6,20
2024-02-03,Manhattan,IS 45,3.6,20
2024-02-03,Manhattan,IS 45,3.6,20
