date,tmax,tmin,tmean,precip,windspeed,rh_max
2024-01-01,7.4,-0.4,3.3,0.1,14.7,91
2024-01-02,5.6,-4.3,0.1,0.0,13.7,88
2024-01-03,8.0,-1.5,1.9,0.0,14.3,90
2024-01-04,6.7,-3.0,1.9,0.3,25.8,85
2024-01-05,3.0,-4.9,-1.7,0.0,18.4,80
2024-01-06,2.7,-4.8,-0.6,14.6,29.9,99
2024-01-07,3.0,-0.1,1.5,6.8,25.2,100
2024-01-08,6.2,-3.7,1.5,0.0,18.1,91
2024-01-09,13.3,-4.3,4.0,39.9,55.0,91
2024-01-10,13.8,4.8,8.8,21.0,41.3,92
2024-01-11,7.8,0.2,4.5,0.1,22.1,79
2024-01-12,8.1,-1.5,4.3,2.5,27.4,90
2024-01-13,14.4,1.2,8.8,19.5,34.9,96
2024-01-14,5.9,-4.1,-0.1,0.8,34.9,61
2024-01-15,-0.9,-5.8,-3.4,1.1,11.3,69
2024-01-16,-0.8,-6.2,-2.9,9.1,24.8,94
2024-01-17,-4.2,-8.8,-6.5,0.0,23.1,70
2024-01-18,0.2,-6.7,-3.3,0.5,17.6,66
2024-01-19,-0.9,-4.3,-2.4,2.5,17.8,79
2024-01-20,-3.5,-8.1,-6.3,0.0,25.1,64
2024-01-21,-1.2,-7.6,-4.9,0.0,22.8,65
2024-01-22,3.7,-6.6,-2.1,0.0,18.8,74
2024-01-23,4.2,-0.9,1.3,2.2,18.0,94
2024-01-24,5.4,0.2,3.0,3.3,10.5,100
2024-01-25,10.6,6.8,8.6,6.1,21.8,100
2024-01-26,7.9,3.1,5.6,4.0,16.3,100
2024-01-27,8.4,2.6,5.2,0.0,12.4,100
2024-01-28,3.8,2.2,3.2,21.1,29.0,97
2024-01-29,5.6,-0.4,2.7,0.6,26.0,91
2024-01-30,4.2,-3.8,0.4,0.0,12.1,89
2024-01-31,4.2,-1.6,1.9,0.1,11.6,92
2024-02-01,8.7,-3.0,2.5,0.6,18.5,96
2024-02-02,6.0,1.2,3.6,6.0,23.0,97
2024-02-03,5.7,-3.2,0.9,0.0,23.5,74
2024-02-04,7.6,-3.6,1.0,0.0,15.2,70
2024-02-05,6.8,-3.1,0.9,0.0,26.5,65
2024-02-06,5.5,-4.8,-0.3,0.0,18.8,63
2024-02-07,8.1,-3.5,1.4,0.0,13.3,83
2024-02-08,9.9,-3.2,2.5,0.0,10.7,91
2024-02-09,11.1,1.6,5.2,0.0,14.8,97
2024-02-10,15.8,2.5,8.7,0.2,15.6,92
2024-02-11,8.9,3.7,6.7,0.0,16.1,93
2024-02-12,9.2,-1.7,3.8,0.0,11.5,91
2024-02-13,3.8,-1.5,1.0,26.1,26.4,93
2024-02-14,0.3,-3.8,-1.8,0.0,26.0,84
2024-02-15,1.6,-5.2,-1.6,0.4,21.8,79
2024-02-16,3.3,-3.2,0.4,0.1,27.7,79
2024-02-17,2.2,-4.8,-1.0,5.6,22.2,94
2024-02-18,3.6,-6.3,-2.1,0.0,25.5,74
2024-02-19,3.8,-3.5,-0.1,0.0,21.9,73
2024-02-20,2.5,-6.3,-2.6,0.0,13.2,76
2024-02-21,4.7,-5.7,-1.0,0.0,14.8,88
2024-02-22,6.7,-4.8,1.2,0.6,18.8,95
2024-02-23,7.6,1.2,4.0,3.4,11.7,99
2024-02-24,5.6,-4.0,1.9,0.0,19.9,92
2024-02-25,4.3,-7.1,-2.1,0.0,15.6,85
2024-02-26,11.4,-2.1,3.5,1.3,14.3,95
2024-02-27,13.8,-0.4,7.7,3.9,26.2,100
2024-02-28,17.0,6.2,13.3,18.3,32.9,95
2024-02-29,4.3,-2.8,0.4,0.0,31.9,60
2024-03-01,5.9,-4.8,0.9,0.0,19.0,82
2024-03-02,10.3,2.2,6.8,28.1,24.7,99
2024-03-03,18.5,6.2,11.5,0.0,16.3,97
2024-03-04,14.4,3.8,8.2,0.0,19.7,97
2024-03-05,8.1,5.1,6.4,21.3,21.2,100
2024-03-06,9.9,4.2,7.3,31.9,21.1,99
2024-03-07,12.5,4.9,9.4,3.8,27.4,98
2024-03-08,12.5,0.8,6.0,0.0,20.6,85
2024-03-09,7.9,3.6,5.3,47.1,31.1,96
2024-03-10,10.7,1.9,6.8,3.3,28.9,98
2024-03-11,9.6,1.1,5.0,0.0,46.1,55
2024-03-12,17.1,2.7,9.2,0.0,21.4,83
2024-03-13,15.6,2.4,8.9,0.0,15.2,87
2024-03-14,21.0,4.0,11.7,0.0,14.0,92
2024-03-15,21.0,7.6,14.5,0.0,22.1,86
2024-03-16,14.1,4.7,9.2,0.0,18.5,89
2024-03-17,15.4,7.2,10.6,0.7,28.4,80
2024-03-18,8.9,2.0,6.2,0.0,20.0,63
2024-03-19,7.2,0.4,3.5,0.5,27.0,87
2024-03-20,11.0,0.2,5.5,1.3,28.8,86
2024-03-21,5.2,-3.6,0.5,0.0,28.7,54
2024-03-22,5.8,-4.6,1.1,0.0,18.2,72
2024-03-23,9.2,0.4,5.3,65.6,32.6,97
2024-03-24,8.4,-2.3,2.5,0.0,29.1,58
2024-03-25,10.3,-1.4,4.2,0.0,19.0,60
2024-03-26,9.9,0.2,5.7,0.0,16.9,82
2024-03-27,10.4,4.6,7.3,0.3,12.8,97
2024-03-28,10.4,5.5,8.2,21.1,20.9,98
2024-03-29,12.5,3.5,7.2,0.1,32.2,71
2024-03-30,14.4,2.5,8.2,0.0,24.1,78
2024-03-31,15.6,4.4,10.2,0.2,19.9,86
2024-04-01,11.6,5.6,8.4,2.7,13.0,88
2024-04-02,8.4,6.0,6.9,17.6,20.9,95
2024-04-03,6.5,4.1,5.4,26.3,44.4,94
2024-04-04,8.8,2.0,5.2,6.2,35.9,95
2024-04-05,9.2,1.5,5.3,0.0,27.2,86
2024-04-06,11.2,3.3,6.8,0.2,26.8,78
2024-04-07,14.0,1.8,7.3,0.1,22.4,79
2024-04-08,17.6,1.7,9.3,0.0,13.0,88
2024-04-09,23.6,5.2,14.3,0.0,17.8,88
2024-04-10,16.0,8.4,12.3,1.3,16.3,94
2024-04-11,17.2,8.9,12.4,18.3,30.2,96
2024-04-12,19.1,12.1,15.3,19.3,38.3,96
2024-04-13,11.4,7.7,9.3,2.1,33.8,73
2024-04-14,21.6,6.2,14.3,1.3,23.5,68
2024-04-15,23.9,10.9,17.7,0.0,23.0,94
2024-04-16,20.2,7.5,14.1,0.0,17.4,76
2024-04-17,16.2,7.5,10.8,3.0,17.4,95
2024-04-18,9.1,5.8,8.3,1.9,24.3,94
2024-04-19,13.6,4.1,8.8,0.0,19.2,92
2024-04-20,19.6,7.1,12.6,1.7,27.5,94
2024-04-21,11.6,2.8,7.6,0.0,20.9,73
2024-04-22,14.6,2.7,8.8,0.0,17.4,78
2024-04-23,14.9,2.2,9.3,0.0,26.5,87
2024-04-24,20.5,8.5,13.1,1.5,29.3,66
2024-04-25,12.7,3.0,7.5,0.0,21.4,80
2024-04-26,14.9,2.0,8.2,0.0,18.7,94
2024-04-27,14.5,2.7,9.2,0.3,26.3,90
2024-04-28,22.8,9.1,15.7,0.5,16.7,92
2024-04-29,28.1,13.4,19.8,7.6,14.1,96
2024-04-30,21.9,10.6,14.9,2.7,15.8,99
2024-05-01,24.6,10.2,15.3,1.0,19.9,96
2024-05-02,27.8,10.2,18.5,0.4,22.4,95
2024-05-03,17.3,9.5,13.3,0.0,17.2,95
2024-05-04,17.6,8.0,11.7,0.0,20.6,97
2024-05-05,11.9,9.1,10.6,10.2,21.7,97
2024-05-06,22.4,11.6,16.7,0.8,10.8,99
2024-05-07,25.7,12.0,19.1,0.0,16.0,94
2024-05-08,30.4,16.0,22.7,0.8,25.8,95
2024-05-09,20.5,14.1,17.2,0.0,15.0,75
2024-05-10,12.8,9.2,10.3,10.8,22.1,92
2024-05-11,16.6,7.3,11.4,0.0,20.2,97
2024-05-12,13.5,8.6,10.5,7.1,13.8,92
2024-05-13,19.8,6.4,13.1,0.0,21.5,97
2024-05-14,22.2,9.9,16.4,4.5,20.0,95
2024-05-15,18.9,13.6,15.6,7.4,24.3,96
2024-05-16,18.6,14.3,16.3,4.0,27.9,92
2024-05-17,22.5,11.9,17.2,0.0,17.7,94
2024-05-18,22.4,13.2,16.7,1.8,15.3,96
2024-05-19,23.2,12.4,16.8,0.1,17.9,99
2024-05-20,24.8,11.1,16.5,0.0,18.4,99
2024-05-21,27.3,12.6,19.4,0.0,16.2,97
2024-05-22,28.6,15.8,22.0,0.0,22.4,91
2024-05-23,27.4,19.1,22.6,2.2,15.1,89
2024-05-24,28.6,16.1,22.5,0.0,17.9,97
2024-05-25,26.3,14.6,19.7,0.0,16.8,93
2024-05-26,26.4,15.6,20.3,0.2,16.0,99
2024-05-27,22.4,17.0,19.2,39.4,26.0,99
2024-05-28,26.8,17.0,21.8,0.0,26.5,98
2024-05-29,24.5,14.1,19.0,14.0,15.8,91
2024-05-30,21.5,13.9,17.4,1.5,20.4,91
2024-05-31,24.2,13.0,18.4,0.0,18.6,66
2024-06-01,27.7,13.9,21.0,0.0,15.1,58
2024-06-02,27.5,14.9,21.3,0.0,20.9,84
2024-06-03,29.6,17.6,23.5,0.0,17.3,89
2024-06-04,26.0,16.2,20.9,0.0,17.5,97
2024-06-05,26.5,15.1,20.4,15.0,23.2,99
2024-06-06,27.8,19.4,23.2,33.6,27.6,98
2024-06-07,28.5,17.5,22.7,0.4,21.7,94
2024-06-08,25.1,15.9,20.5,0.0,25.6,79
2024-06-09,25.0,15.2,20.2,0.0,24.2,80
2024-06-10,24.2,14.8,19.4,0.0,17.4,73
2024-06-11,23.2,14.1,18.9,0.1,10.2,90
2024-06-12,25.2,14.6,19.8,0.0,15.0,87
2024-06-13,29.1,13.9,22.0,0.0,29.2,94
2024-06-14,29.5,19.4,22.9,23.2,15.3,93
2024-06-15,27.0,17.0,21.6,0.0,20.4,93
2024-06-16,24.4,14.2,19.1,0.0,17.6,93
2024-06-17,29.8,16.4,22.9,0.0,25.8,97
2024-06-18,30.0,20.5,25.1,0.0,22.2,85
2024-06-19,31.2,20.1,24.9,0.0,24.1,78
2024-06-20,33.5,20.1,26.6,0.0,20.7,78
2024-06-21,35.2,22.8,27.7,3.8,15.6,87
2024-06-22,34.0,22.0,26.9,2.9,15.7,94
2024-06-23,35.5,22.7,29.2,0.4,26.7,90
2024-06-24,26.6,22.0,24.7,0.0,37.4,72
2024-06-25,33.4,20.2,26.3,0.0,21.3,60
2024-06-26,35.2,23.1,28.0,0.5,25.5,82
2024-06-27,30.1,20.1,24.6,8.9,20.3,92
2024-06-28,25.6,15.5,20.0,0.0,20.7,68
2024-06-29,26.6,17.9,23.0,1.7,32.5,92
2024-06-30,33.2,19.6,25.9,32.1,26.4,96
2024-07-01,26.4,16.6,21.7,0.2,24.0,79
2024-07-02,28.2,16.4,22.5,0.0,15.5,75
2024-07-03,27.7,17.4,22.6,0.0,25.3,80
2024-07-04,30.3,19.4,24.6,3.9,18.2,93
2024-07-05,32.0,22.0,26.2,4.0,17.6,98
2024-07-06,32.6,22.6,27.7,0.9,15.9,94
2024-07-07,32.3,23.2,27.7,0.9,13.6,97
2024-07-08,32.7,23.4,26.9,0.0,15.9,100
2024-07-09,31.5,22.4,27.2,0.1,23.1,98
2024-07-10,31.6,24.7,27.7,1.5,33.1,91
2024-07-11,34.2,23.3,27.7,4.8,26.7,92
2024-07-12,29.2,21.6,25.0,17.0,20.6,94
2024-07-13,30.4,21.9,25.3,31.1,19.3,97
2024-07-14,31.3,21.7,26.7,1.0,15.5,100
2024-07-15,34.6,23.3,28.6,0.5,21.1,96
2024-07-16,34.1,23.0,28.6,0.8,24.5,83
2024-07-17,31.8,23.0,26.9,36.6,16.9,96
2024-07-18,30.2,21.5,25.2,0.3,16.1,94
2024-07-19,28.3,17.9,23.4,0.0,15.7,75
2024-07-20,28.2,17.8,23.9,0.9,17.7,90
2024-07-21,31.1,19.6,25.7,0.0,21.7,92
2024-07-22,28.0,21.1,24.5,4.4,19.9,94
2024-07-23,28.9,21.1,24.3,2.5,8.6,97
2024-07-24,29.2,21.1,24.2,10.0,14.5,98
2024-07-25,30.1,20.4,24.7,0.0,16.4,100
2024-07-26,28.9,18.2,23.6,0.0,19.2,66
2024-07-27,29.8,17.6,24.1,0.0,12.3,81
2024-07-28,31.1,18.3,24.3,0.0,18.7,86
2024-07-29,29.0,21.6,24.7,4.1,16.8,94
2024-07-30,31.2,21.5,26.1,0.0,27.5,97
2024-07-31,31.8,23.1,25.7,13.5,16.9,94
2024-08-01,34.6,20.5,27.6,0.0,15.3,97
2024-08-02,33.2,23.4,27.0,4.0,25.1,95
2024-08-03,33.2,23.6,26.7,11.4,15.5,96
2024-08-04,28.3,23.2,24.6,4.8,15.4,97
2024-08-05,31.9,21.1,26.7,0.0,19.4,92
2024-08-06,32.0,21.8,25.6,37.1,16.6,97
2024-08-07,22.2,18.7,20.7,21.9,20.0,97
2024-08-08,23.0,18.6,20.8,10.0,22.0,96
2024-08-09,28.2,22.0,24.8,24.1,43.4,97
2024-08-10,29.1,21.7,25.1,1.1,17.7,96
2024-08-11,27.8,18.6,22.9,0.0,19.9,82
2024-08-12,26.1,16.6,21.8,0.4,18.9,94
2024-08-13,27.2,16.6,21.6,0.0,13.2,87
2024-08-14,28.2,18.0,22.9,0.0,14.0,88
