"term","estimate","std.error","statistic","p.value","model"
"pm25",-0.00133572003710679,0.00440084109630431,-0.303514716363762,0.763403031103632,"m_mh_lag0"
"ns(tmean, df = 3)1",0.228608872636074,0.113062048007699,2.02197710606221,0.0513475080814823,"m_mh_lag0"
"ns(tmean, df = 3)2",0.607092464714795,0.236942932305982,2.562188535469,0.0151527114273951,"m_mh_lag0"
"ns(tmean, df = 3)3",0.235282926092527,0.12501542972718,1.88203109492951,0.0686758139604726,"m_mh_lag0"
"ns(rh_max, df = 3)1",-0.0524862437653285,0.0498076449049107,-1.05377887000141,0.299638994999514,"m_mh_lag0"
"ns(rh_max, df = 3)2",-0.0370565075257246,0.164706698488096,-0.224984823725326,0.823378483866878,"m_mh_lag0"
"ns(rh_max, df = 3)3",-0.0590259830197009,0.0433033283422729,-1.36308189876665,0.18208558553576,"m_mh_lag0"
"pm25",-0.000946416611985419,0.00448528645758425,-0.211004719750977,0.834264546294375,"m_mh_lag01"
"pm25_lag1",0.00116540299715399,0.00376954099273774,0.309163104844652,0.75926588739945,"m_mh_lag01"
"ns(tmean, df = 3)1",0.259687631637237,0.114266806877295,2.27264276244371,0.030132274664215,"m_mh_lag01"
"ns(tmean, df = 3)2",0.71908412662264,0.244107704718017,2.94576579405102,0.00606501562589715,"m_mh_lag01"
"ns(tmean, df = 3)3",0.234329132734164,0.12817297967081,1.82822567857903,0.0771534905675233,"m_mh_lag01"
"ns(rh_max, df = 3)1",-0.036387962466925,0.0496486720992395,-0.732909077491367,0.469119995489784,"m_mh_lag01"
"ns(rh_max, df = 3)2",-0.0782738907743979,0.163899133239052,-0.477573549215985,0.636303958831433,"m_mh_lag01"
"ns(rh_max, df = 3)3",-0.0566454888680786,0.042875737532015,-1.3211548565382,0.196118977391885,"m_mh_lag01"
"pm25",-0.00156776528845989,0.00683787779109125,-0.22927658790604,0.820159938995417,"m_mh_interaction"
"heat_day",-0.0164942569764884,0.122033151289615,-0.135162099824362,0.893357532940061,"m_mh_interaction"
"ns(tmean, df = 3)1",0.228188540353098,0.124671044575787,1.83032508574501,0.0768311957421707,"m_mh_interaction"
"ns(tmean, df = 3)2",0.617295358360974,0.25916833788838,2.38183168279929,0.0235482686767691,"m_mh_interaction"
"ns(tmean, df = 3)3",0.249307636947775,0.170699008721845,1.46051016238778,0.154211695492116,"m_mh_interaction"
"ns(rh_max, df = 3)1",-0.0507952016798362,0.0529157963268544,-0.959925111323668,0.344520628184997,"m_mh_interaction"
"ns(rh_max, df = 3)2",-0.0324442321550053,0.17336190091193,-0.187147418114014,0.852764545115814,"m_mh_interaction"
"ns(rh_max, df = 3)3",-0.0598338300336671,0.0460120547496586,-1.30039465438372,0.203050797562486,"m_mh_interaction"
"pm25:heat_day",0.000675959592230178,0.00911633772079837,0.074148151695611,0.941368904585442,"m_mh_interaction"
"pm25",0.0279708646156035,0.0218920449410737,1.27767253771368,0.210280350909671,"m_su_lag0"
"ns(tmean, df = 3)1",0.375105332939929,0.58403370525389,0.642266584215142,0.525137239415002,"m_su_lag0"
